name,category,latitude,longitude,wiki_title,monthly_views
Kwa-Ma-Rolas (Kwanusila),Iconic Attractions,41.9489802,-87.6424356,Kwanusila,129.6153846153846
A Signal of Peace,Iconic Attractions,41.9331913,-87.6314027,A Signal of Peace,187.6153846153846
Big Beaver Totem Pole,Iconic Attractions,41.8672178,-87.6170698,Big Beaver Totem Pole,72.07692307692308
Flamingo,Iconic Attractions,41.8788065,-87.6296809,Flamingo (sculpture),1220.7692307692307
Batcolumn,Iconic Attractions,41.8819687,-87.643123,Batcolumn,198.46153846153845
Menorah,Iconic Attractions,41.9974053,-87.7034188,Hanukkah menorah,8155.0
Young Lincoln Statue,Iconic Attractions,41.9897817,-87.6694363,List of statues of Abraham Lincoln,376.2307692307692
360 Chicago,Iconic Attractions,41.8989798,-87.6231763,John Hancock Center,7443.076923076923
Lincoln Memorial Replica,Iconic Attractions,41.9758778,-87.9042536,Statue of Abraham Lincoln (Lincoln Memorial),4351.461538461538
Money Museum,Museums & Galleries,41.87833,-87.632568,Federal Reserve Bank of Chicago,1475.076923076923
America's Courtyard,Iconic Attractions,41.8656406,-87.6065703,America's Courtyard,469.6923076923077
Man with Fish,Iconic Attractions,41.8671371,-87.6146694,Man with Fish,119.38461538461539
Olmec Head,Iconic Attractions,41.8671514,-87.6157214,Olmec colossal heads,9143.384615384615
Sir Georg Solti Bust,Iconic Attractions,41.8778676,-87.6236335,Bust of Georg Solti,33.53846153846154
The Alarm,Iconic Attractions,41.9362619,-87.6325293,The Alarm (Boyle),47.53846153846154
Cow,Iconic Attractions,41.8833571,-87.6248187,CowParade,879.8461538461538
McCormick Bridgehouse & Chicago River Museum,Museums & Galleries,41.8884954,-87.6246857,DuSable Bridge,689.0
National Museum of Puerto Rican Arts & Culture,Museums & Galleries,41.9023107,-87.703187,National Museum of Puerto Rican Arts and Culture,120.07692307692308
The Renaissance Society,Museums & Galleries,41.789142,-87.60102,,
Polish Museum of America,Museums & Galleries,41.8996737,-87.66105,Polish Museum of America,304.53846153846155
Loyola University Museum of Art,Museums & Galleries,41.8973289,-87.6250576,Loyola University Museum of Art,83.15384615384616
The Museum of Contemporary Photography,Museums & Galleries,41.8742073,-87.6245139,,
National Veterans Art Museum,Museums & Galleries,41.9543845,-87.7486367,National Veterans Art Museum,79.07692307692308
Richard H. Driehaus Museum,Museums & Galleries,41.8942846,-87.6265031,Driehaus Museum,787.2307692307693
Nuclear Energy,Iconic Attractions,41.7924887,-87.6010567,Nuclear Energy (sculpture),898.6153846153846
Brachiosaurus Replica,Iconic Attractions,41.8666577,-87.6184708,Brachiosaurus,22781.46153846154
Chicago Rising from the Lake,Iconic Attractions,41.8889727,-87.6207825,Chicago Rising from the Lake,55.84615384615385
American Writers Museum,Museums & Galleries,41.8855608,-87.6249909,,
Begin Route 66,Iconic Attractions,41.8796145,-87.6246298,U.S. Route 66,66475.23076923077
Chicago Architecture Center,Museums & Galleries,41.8880131,-87.6236228,Chicago Architecture Center,265.0769230769231
San Marco II,Iconic Attractions,41.875953,-87.6327146,San Marco II,32.69230769230769
Michael Jordan,Iconic Attractions,41.8807048,-87.6730825,Statue of Michael Jordan,1055.5384615384614
Jack Brickhouse,Iconic Attractions,41.8898888,-87.6238655,Bust of Jack Brickhouse,50.23076923076923
Cubi VII,Iconic Attractions,41.880484,-87.6238031,Cubi VII,39.0
Magdalene,Iconic Attractions,41.8757319,-87.6238785,Magdalene (sculpture),62.30769230769231
Schiller Woods Magic Water Pump,Iconic Attractions,41.9521189,-87.8439799,Schiller Woods magic water pump,849.6923076923077
Chicago Children's Museum,Museums & Galleries,41.891472,-87.6092029,Chicago Children's Museum,226.84615384615384
Hector Guimard Metro entrance,Iconic Attractions,41.8769513,-87.6238806,Paris Métro entrances by Hector Guimard,1540.6153846153845
Chicago Blackhawks 75th Anniversary Sculpture,Iconic Attractions,41.8815043,-87.674204,Chicago Blackhawks,33263.846153846156
Ukrainian National Museum,Museums & Galleries,41.894607,-87.6840067,Ukrainian National Museum,72.61538461538461
Waller Apartments,Iconic Attractions,41.8856307,-87.6983895,Waller Apartments,129.92307692307693
U-505 Submarine,Iconic Attractions,41.7918808,-87.5812474,German submarine U-505,11858.692307692309
Irv Kupcinet,Iconic Attractions,41.8877011,-87.6262319,Statue of Irv Kupcinet,378.3076923076923
We Will Chicago,Iconic Attractions,41.8844231,-87.6254658,We Will,52.69230769230769
Legacy Walk Rainbow Pylon,Iconic Attractions,41.9506613,-87.6496824,Legacy Walk,274.9230769230769
Eternal Silence,Iconic Attractions,41.95542,-87.6596896,Eternal Silence (sculpture),528.0
Leonard M. Louie,Iconic Attractions,41.8590874,-87.6322394,Ping Tom Memorial Park,452.6923076923077
The Chicago Lincoln,Iconic Attractions,41.9687672,-87.6886718,The Chicago Lincoln,122.15384615384616
Sue the Dinosaur,Iconic Attractions,41.8662438,-87.6160435,Sue (dinosaur),19303.69230769231
Allow Me,Iconic Attractions,41.8993411,-87.624854,Allow Me,78.53846153846153
Chicago Sports Museum,Museums & Galleries,41.8980264,-87.6220778,Chicago Sports Museum,96.15384615384616
Giant Radio Flyer Wagon,Iconic Attractions,41.9231365,-87.7883472,Radio Flyer,1758.0
Pritzker Military Museum & Library,Museums & Galleries,41.8806197,-87.6246632,Pritzker Military Museum & Library,632.3076923076923
Maxwell Street Vendor,Iconic Attractions,41.8648485,-87.6460057,Maxwell Street,1758.2307692307693
Statue of Liberty,Iconic Attractions,42.0185804,-87.8876216,Replicas of the Statue of Liberty,6473.307692307692
Chicago Picasso Braille Model,Iconic Attractions,41.8833774,-87.629829,Chicago Picasso,5621.615384615385
Museum of Broadcast Communications,Museums & Galleries,41.8846038,-87.6393207,Museum of Broadcast Communications,700.2307692307693
Wicker Park,Parks & Outdoors,41.9080017,-87.6761743,Wicker Park (Chicago park),106.38461538461539
Columbus Park,Parks & Outdoors,41.8744167,-87.769558,Columbus Park (Chicago),162.46153846153845
Millennium Park,Parks & Outdoors,41.8826167,-87.6225177,Millennium Park,4029.4615384615386
The Peggy Notebaert Nature Museum,Museums & Galleries,41.9267866,-87.6351944,Peggy Notebaert Nature Museum,317.2307692307692
Chicago History Museum,Museums & Galleries,41.9119908,-87.6315209,Chicago History Museum,778.6923076923077
Museum of Contemporary Art,Museums & Galleries,41.8972189,-87.6212206,Museum of Contemporary Art Chicago,590.5384615384615
Navy Pier,Iconic Attractions,41.8917312,-87.6041467,Navy Pier,4537.7692307692305
Field Museum (Field Museum of Natural History),Museums & Galleries,41.8662111,-87.6168966,Field Museum of Natural History,7309.846153846154
Griffin Museum of Science and Industry,Museums & Galleries,41.7907605,-87.5829373,Museum of Science and Industry (Chicago),6708.923076923077
Leaning Tower of Niles,Iconic Attractions,42.0124193,-87.7840559,Leaning Tower of Niles,1532.1538461538462
Frank Lloyd Wright Home and Studio,Museums & Galleries,41.8940833,-87.7996691,Frank Lloyd Wright Home and Studio,2560.153846153846
Jefferson Memorial Park,Parks & Outdoors,41.9686493,-87.7636662,Jefferson Park (Chicago park),53.84615384615385
Welles Park,Parks & Outdoors,41.9622584,-87.6862728,Welles Park,94.23076923076923
Independence Park,Parks & Outdoors,41.9527662,-87.7238933,Independence Park (Chicago),59.46153846153846
Oz Park,Parks & Outdoors,41.9206037,-87.6456648,Oz Park,458.0
Riis Park,Parks & Outdoors,41.9255928,-87.7818434,Riis Park (Chicago),90.46153846153847
Seward Park,Parks & Outdoors,41.902452,-87.6387978,Seward Park (Chicago),68.38461538461539
Byline Bank Aragon Ballroom,Iconic Attractions,41.9694311,-87.6580259,Aragon Ballroom (Chicago),2144.4615384615386
Cornell Square Park,Parks & Outdoors,41.8021751,-87.6708937,Cornell Square,31.692307692307693
Sherman (John) Park,Parks & Outdoors,41.7968762,-87.6573939,Sherman Park,115.23076923076923
Pulaski Park,Parks & Outdoors,41.9061202,-87.663305,Pulaski Park (Chicago),158.84615384615384
DuSable Black History Museum and Education Center,Museums & Galleries,41.7918722,-87.6072653,DuSable Black History Museum and Education Center,29.846153846153847
Marquette Park,Parks & Outdoors,41.7680333,-87.7029016,Marquette Park (Chicago),517.0769230769231
McKinley Park,Parks & Outdoors,41.8249048,-87.6796791,McKinley Park (Chicago park),62.38461538461539
Palmer Park,Parks & Outdoors,41.6908586,-87.6157858,Palmer Park (Chicago),53.23076923076923
Hamilton Park,Parks & Outdoors,41.7616921,-87.6370249,Hamilton Park (Chicago),61.61538461538461
Avondale Park,Parks & Outdoors,41.9415751,-87.7148385,Avondale Park (Chicago),38.92307692307692
Bataan Park,Parks & Outdoors,41.8992935,-87.8456108,Battle of Bataan,10849.384615384615
Chopin Park,Parks & Outdoors,41.9431827,-87.7629734,Chopin Park,38.84615384615385
Frederick C. Robie House,Iconic Attractions,41.7898086,-87.5959318,Robie House,5552.615384615385
Trumbull Park,Parks & Outdoors,41.7063323,-87.5644807,Trumbull Park,72.23076923076923
Grand Crossing Park,Parks & Outdoors,41.7549776,-87.6004228,Grand Crossing Park,27.692307692307693
Mariano Park,Parks & Outdoors,41.901922,-87.6281538,Mariano Park,125.38461538461539
Washington Square,Parks & Outdoors,41.899265,-87.6305847,Washington Square Park (Chicago),1184.923076923077
Calumet Park,Parks & Outdoors,41.7155968,-87.5297006,Calumet Park,145.84615384615384
Davis Square Park,Parks & Outdoors,41.8131245,-87.6675236,Davis Square (Chicago),32.53846153846154
Fuller Park,Parks & Outdoors,41.8114197,-87.6346635,Fuller Park (Chicago park),53.61538461538461
Shedd Park,Parks & Outdoors,41.8502235,-87.7167808,Shedd Park Fieldhouse,31.307692307692307
Cloud Gate (The Bean),Iconic Attractions,41.8826861,-87.6233406,Cloud Gate,21956.53846153846
Fountain of Time,Iconic Attractions,41.7867553,-87.6076412,Fountain of Time,1148.2307692307693
Kosciuszko Park,Parks & Outdoors,41.9309212,-87.7245091,Kosciuszko Park (Chicago),114.76923076923077
Miro's Chicago,Iconic Attractions,41.8830686,-87.6303775,Miró's Chicago,359.46153846153845
Monument With Standing Beast,Iconic Attractions,41.8847406,-87.6312138,Monument with Standing Beast,446.6923076923077
Four Seasons,Iconic Attractions,41.8810937,-87.6297893,Four Seasons (Chagall),571.1538461538462
Jane Addams Hull-House Museum,Museums & Galleries,41.8716506,-87.647398,,
Chicago Women's Park and Gardens,Parks & Outdoors,41.8571868,-87.6215118,Chicago Women's Park and Gardens,35.083333333333336
Henry B. Clarke House,Museums & Galleries,41.8570672,-87.6218774,Henry B. Clarke House,361.84615384615387
David and Alfred Smart Museum of Art,Museums & Galleries,41.7935122,-87.6001865,Smart Museum of Art,289.2307692307692
Illinois Holocaust Museum Presents Experience360,Museums & Galleries,41.8890241,-87.6285862,Illinois Holocaust Museum and Education Center,356.15384615384613
Dunbar Park,Parks & Outdoors,41.8402261,-87.6202766,Dunbar Park (Chicago),32.0
Armour Square Park,Parks & Outdoors,41.8336544,-87.6340047,Armour Square Park,85.61538461538461
Irish American Heritage Center,Museums & Galleries,41.9653234,-87.7445686,Irish American Heritage Center,225.3846153846154
