station_id,dow,month,pred_rides,tier
40010,0,1,200.2,Quiet
40010,0,2,258.6,Quiet
40010,0,3,270.1,Quiet
40010,0,4,285.7,Quiet
40010,0,5,317.9,Quiet
40010,0,6,328.1,Quiet
40010,0,7,305.4,Quiet
40010,0,8,291.0,Quiet
40010,0,9,305.3,Quiet
40010,0,10,313.8,Quiet
40010,0,11,289.8,Quiet
40010,0,12,264.5,Quiet
40010,1,1,524.9,Moderate
40010,1,2,599.1,Moderate
40010,1,3,605.4,Moderate
40010,1,4,617.3,Moderate
40010,1,5,630.7,Moderate
40010,1,6,638.0,Moderate
40010,1,7,606.8,Moderate
40010,1,8,592.4,Moderate
40010,1,9,618.1,Moderate
40010,1,10,651.3,Moderate
40010,1,11,647.5,Moderate
40010,1,12,622.3,Moderate
40010,2,1,589.2,Busy
40010,2,2,650.7,Busy
40010,2,3,656.9,Busy
40010,2,4,668.8,Busy
40010,2,5,682.3,Busy
40010,2,6,689.5,Busy
40010,2,7,658.4,Busy
40010,2,8,644.0,Busy
40010,2,9,669.6,Busy
40010,2,10,702.1,Busy
40010,2,11,694.9,Busy
40010,2,12,665.9,Busy
40010,3,1,639.0,Busy
40010,3,2,669.6,Busy
40010,3,3,679.7,Busy
40010,3,4,692.0,Busy
40010,3,5,705.5,Busy
40010,3,6,712.7,Busy
40010,3,7,681.6,Busy
40010,3,8,668.0,Busy
40010,3,9,696.2,Busy
40010,3,10,728.8,Busy
40010,3,11,721.5,Busy
40010,3,12,687.1,Busy
40010,4,1,633.0,Busy
40010,4,2,661.9,Busy
40010,4,3,672.8,Busy
40010,4,4,685.1,Busy
40010,4,5,698.5,Busy
40010,4,6,705.8,Busy
40010,4,7,676.1,Busy
40010,4,8,662.5,Busy
40010,4,9,690.7,Busy
40010,4,10,721.6,Busy
40010,4,11,714.3,Busy
40010,4,12,679.9,Busy
40010,5,1,508.3,Moderate
40010,5,2,576.8,Moderate
40010,5,3,601.3,Moderate
40010,5,4,602.8,Moderate
40010,5,5,622.9,Moderate
40010,5,6,631.6,Moderate
40010,5,7,601.9,Moderate
40010,5,8,588.3,Moderate
40010,5,9,609.2,Moderate
40010,5,10,636.8,Moderate
40010,5,11,616.9,Moderate
40010,5,12,578.7,Moderate
40010,6,1,250.7,Quiet
40010,6,2,290.9,Quiet
40010,6,3,379.2,Quiet
